가맹점코드,가맹점명,가맹주성함,가맹주번호,사업자번호,정보
1485200068,대광상회,권희건,010-6915-6821,752-56-02508,99등록이 되어 있습니다.
70210100653,㈜용궁냉동,이태윤,010-1389-2621,023-42-90564,100등록이 되어 있습니다.
61710200001,르네시떼,정예하,010-0444-9098,517-17-95673,101등록이 되어 있습니다.
63112000096,둘둘수산,홍라지,010-4840-0552,991-96-57167,102등록이 되어 있습니다.
15011800201,광주상회,최우수,010-2439-3367,121-06-32663,103등록이 되어 있습니다.
70211800021,달성상사,박라시,010-3505-2568,362-95-08518,104등록이 되어 있습니다.
1229200002,엘레버드,한하지,010-3777-0160,984-58-72420,105등록이 되어 있지 않습니다. 
63112000096,둘둘수산,김지건,010-3897-4767,491-08-60620,106등록이 되어 있습니다.
1122200022,(주)샘물미트,권유라,010-3919-2924,926-66-27667,107등록이 되어 있습니다.
15010800002,동부상사,윤건은,010-0178-1435,372-89-60986,108등록이 되어 있습니다.
46210700047,인혜슈퍼,서희도,010-7885-9472,839-07-17809,109등록이 되어 있습니다.
70611300002,(주)선영,송유희,010-0880-3185,389-40-79353,110등록이 되어 있습니다.
61710100023,계성상회,송서도,010-5590-9207,318-81-93943,111등록이 되어 있습니다.
54010200155,남우수산,송현건,010-7266-2206,095-42-08305,112등록이 되어 있습니다.
70210700001,칠성시장상인회,조유예,010-1620-9249,427-53-95702,113등록이 되어 있지 않습니다. 
70210101017,대풍상회,이현태,010-3900-3945,746-14-70021,114등록이 되어 있습니다.
70211700124,대풍농산,홍준지,010-3650-9227,935-94-41289,115등록이 되어 있습니다.
60010100124,한미상회,정태윤,010-7693-7115,126-21-48768,116등록이 되어 있습니다.
60010100124,한미상회,윤예라,010-9733-5883,123-23-32786,117등록이 되어 있습니다.
13310500534,(주)승일푸드유통,임윤현,010-3271-1839,250-84-40004,118등록이 되어 있습니다.
60211100045,신용상회,서건유,010-2392-3604,893-57-57762,119등록이 되어 있지 않습니다. 
60211100008,제이에스수산,권시진,010-9700-1620,023-44-05173,120등록이 되어 있습니다.
54010400002,오뚜기청과,임희준,010-1168-3098,674-02-98390,121등록이 되어 있습니다.
74210700043,올품상주대리점,권희유,010-0964-7406,133-69-10399,122등록이 되어 있습니다.
70510800006,봉덕신시장상인회,조도수,010-9412-8820,898-35-14334,123등록이 되어 있습니다.
70510800006,봉덕신시장상인회,윤라희,010-8140-8087,722-31-26369,124등록이 되어 있습니다.
64110700387,상남식자재,최윤준,010-6183-7290,134-62-18810,125등록이 되어 있습니다.
2102200030,이일유통,한희하,010-6344-1109,716-49-09193,126등록이 되어 있습니다.
2182200006,깡통정육점,한희윤,010-9597-6988,741-10-07426,127등록이 되어 있지 않습니다. 
61410200102,제일신발,윤라진,010-2974-6313,355-40-99692,128등록이 되어 있습니다.
40310300001,부평깡시장 상인회,임태나,010-1936-7846,751-60-32692,129등록이 되어 있습니다.
2181200002,씨유 자갈치점,박라우,010-4883-7054,618-56-78195,130등록이 되어 있습니다.
70510800006,봉덕신시장상인회,정하희,010-2390-3407,400-10-97819,131등록이 되어 있습니다.
61410900256,삼흥상회,이나도,010-9219-0138,065-99-93187,132등록이 되어 있습니다.
78010400059,철자상회,송하지,010-1828-8813,029-27-23275,133등록이 되어 있습니다.
30010700297,미래수산,임우도,010-2213-5206,492-29-16843,134등록이 되어 있습니다.
70210700956,매일수산,강윤지,010-5657-3936,880-38-05571,135등록이 되어 있습니다.
70610300205,오성유통,윤수라,010-0248-4762,085-06-78154,136등록이 되어 있지 않습니다. 
56010400001,전주중앙상가시장상인,김수예,010-1696-9298,030-77-26429,137등록이 되어 있습니다.
70510800006,봉덕신시장상인회,박도진,010-8194-4338,887-61-82526,138등록이 되어 있습니다.
64113100037,쌀맛나는세상,서나시,010-8681-8073,095-96-20802,139등록이 되어 있습니다.
61310200001,남천해변시장,박하현,010-6717-4409,709-75-74747,140등록이 되어 있습니다.
64113100037,쌀맛나는세상,홍윤현,010-9289-3326,294-42-95079,141등록이 되어 있습니다.
74510600072,점촌농협공판장22,강라유,010-0587-4919,149-54-87707,142등록이 되어 있습니다.
60010200034,왕대수산,홍희희,010-6304-8016,894-01-53572,143등록이 되어 있습니다.
70212600001,칠성전자주방시장상인,김우윤,010-2124-0134,814-02-38866,144등록이 되어 있지 않습니다. 
60211200010,성해수산,홍시우,010-5124-0666,654-60-82484,145등록이 되어 있습니다.
40510300001,구월도매전통시장,서윤태,010-3541-6377,712-16-29868,146등록이 되어 있습니다.
64113100037,쌀맛나는세상,서지하,010-0517-3033,397-43-16487,147등록이 되어 있습니다.
3074200057,노점,홍건도,010-9311-4917,739-53-59202,148등록이 되어 있습니다.
68110200065,선우시장상인회,정건진,010-5877-5651,679-37-03410,149등록이 되어 있습니다.
70010100001,패션주얼리특구상인회,김유지,010-7883-6806,845-17-84607,150등록이 되어 있습니다.
38010100188,무학시장상인회,박희윤,010-5029-6341,133-49-16805,151등록이 되어 있지 않습니다. 
60610100001,영도봉래시장,이태나,010-2880-9382,452-64-07649,152등록이 되어 있습니다.
73011100063,고령상회,윤은준,010-6415-6118,878-58-79744,153등록이 되어 있습니다.
60410300061,대교수산,신준하,010-0269-3912,722-32-78984,154등록이 되어 있습니다.
4050200039,대성수산,강준태,010-0296-0637,852-49-66799,155등록이 되어 있습니다.
61411200072,김해상회,윤은태,010-4081-7201,663-19-55369,156등록이 되어 있습니다.
14034200016,홍도어물,권라유,010-9120-2794,864-43-99585,157등록이 되어 있지 않습니다. 
78010300336,행복유통,김나현,010-0021-2554,627-06-06397,158등록이 되어 있습니다.
61610100104,동성푸드,송서하,010-9317-2169,936-57-63367,159등록이 되어 있습니다.
6004200023,농업회사법인 (주),최라윤,010-6897-9668,505-81-25987,160등록이 되어 있습니다.
2280200089,맑은나라,권하준,010-0617-4599,512-40-82384,161등록이 되어 있습니다.
61410900115,오군상회,정우라,010-8020-8532,912-59-75283,162등록이 되어 있습니다.
60010200076,동성수산,신지하,010-2481-1327,108-78-23940,163등록이 되어 있습니다.
70310100121,서문시장2지구,서은유,010-5968-5622,541-20-91343,164등록이 되어 있습니다.
40010411784,골든벨,이건예,010-5052-6093,082-64-52308,165등록이 되어 있습니다.
12061200084,베이비베네피아천안점,이유서,010-1507-9810,081-55-40585,166등록이 되어 있습니다.
2298200009,현대홈인테리어,윤지서,010-8918-6122,005-45-56486,167등록이 되어 있습니다.
2298200009,현대홈인테리어,임건태,010-6940-3832,830-11-90436,168등록이 되어 있습니다.
70210700001,칠성시장상인회,이민태,010-4569-6033,884-70-28975,169등록이 되어 있습니다.
70210100650,노점,김은현,010-1889-5296,494-30-14297,등록이 되어 있습니다.
70210100106,노점(용평상회),강우은,010-6821-5931,934-66-33311,등록이 되어 있습니다.
31210300068,금산수삼센터,윤민현,010-2219-6058,631-75-33147,등록이 되어 있습니다.
70210100779,새영남건어물,서준시,010-0063-5575,585-03-66186,등록이 되어 있습니다.
2069200005,해조원,윤서태,010-1375-5468,322-98-27635,등록이 되어 있습니다.
2069200005,해조원,임예지,010-8209-0383,304-19-94648,등록이 되어 있습니다.
13011400056,효성탕제원,신예도,010-2173-4918,061-78-78770,등록이 되어 있습니다.
63110200001,마산시어시장상인회,김현수,010-9664-6224,094-15-95255,등록이 되어 있습니다.
50210400187,흥선유통,정예유,010-6218-2301,967-60-56392,등록이 되어 있습니다.
61410800689,곡식할매,김민나,010-6847-0014,563-36-41708,등록이 되어 있지 않습니다. 
63110200677,대성활어,최현나,010-1902-7014,017-84-05827,등록이 되어 있습니다.
68111800001,반구시장상인회,강유진,010-1142-6852,599-25-87012,등록이 되어 있습니다.
63110200677,대성활어,서하시,010-5071-9292,531-09-15253,등록이 되어 있습니다.
13310500313,문경한우,홍도윤,010-7619-6380,535-00-65980,등록이 되어 있습니다.
53010700087,동부축산,강나나,010-9839-5659,281-77-69768,등록이 되어 있습니다.
79110800010,동빈수산,강민민,010-3014-7382,021-12-77256,등록이 되어 있습니다.
13011800069,함안상회,정라태,010-1487-6854,593-12-10438,등록이 되어 있습니다.
44710100001,오산오색시장상인회,이예하,010-6201-2635,650-51-39099,등록이 되어 있습니다.
2190200025,어패류 1-177호,강나유,010-9878-6748,993-01-58352,등록이 되어 있습니다.
2190200025,어패류 1-177호,송도진,010-4514-9207,164-59-64238,등록이 되어 있습니다.
60410300023,창해수산,임라서,010-6358-0743,430-60-36291,등록이 되어 있습니다.
54010200058,보수청과,정나예,010-7989-1771,473-37-31997,등록이 되어 있습니다.
70210700001,칠성시장상인회,정우태,010-1773-4055,610-75-03564,등록이 되어 있습니다.
70510800006,봉덕신시장상인회,윤유하,010-3618-9678,270-06-75928,등록이 되어 있습니다.
13011700370,진흥상회,서은태,010-7560-4387,795-49-12356,등록이 되어 있습니다.
61710100109,대성마늘,한나유,010-9218-5020,135-09-68738,등록이 되어 있습니다.
32010200283,왕대수산,정민수,010-2229-5749,481-31-83548,등록이 되어 있습니다.
10010500001,평화시장상인연합회,조윤민,010-0265-7753,202-57-35865,등록이 되어 있습니다.
79111300005,점포명없음,신희예,010-7556-8450,184-30-49441,등록이 되어 있습니다.
50210400082,양동수산전통시장상인,권나민,010-3828-5725,224-53-01279,등록이 되어 있지 않습니다. 
13310500173,(주)유원미트코리아,홍예수,010-7024-6491,711-00-53178,등록이 되어 있지 않습니다. 
79110201504,대운상회,서시나,010-9153-8827,398-70-19199,등록이 되어 있지 않습니다. 
70211800021,달성상사,홍유희,010-6526-1864,292-27-53521,등록이 되어 있지 않습니다. 
33010500103,우성식품,임도건,010-5779-6307,607-09-60005,등록이 되어 있습니다.
10010200282,첼루빠빠,윤도유,010-4087-5139,176-93-87781,등록이 되어 있습니다.
70010700144,성도이불,강서유,010-1835-9498,479-53-01010,등록이 되어 있습니다.
70210500111,형제유통,정윤진,010-3214-4538,642-31-59767,등록이 되어 있습니다.
38010100188,무학시장상인회,서진서,010-6610-0287,550-25-54267,등록이 되어 있습니다.
6014200002,주식회사 대한농산,강지희,010-6299-4068,081-48-33904,등록이 되어 있습니다.
3074200012,노점,홍진시,010-9613-2820,851-21-29496,등록이 되어 있습니다.
60210700131,여경수산,송나라,010-6898-2689,270-79-85656,등록이 되어 있습니다.
56010200001,풍남문상점가상인회,한서나,010-4683-6219,277-59-24842,등록이 되어 있습니다.
43010200001,안양남부시장상인회,한도수,010-2958-0516,919-77-23530,등록이 되어 있습니다.
59010100001,남원공설시장상인회,윤예건,010-0490-1475,500-35-95353,등록이 되어 있습니다.
30610400056,선미식품,권진건,010-3805-2577,634-67-96823,등록이 되어 있습니다.
16098200048,명성축산,임준하,010-8307-6978,282-37-74701,등록이 되어 있지 않습니다. 
46311000018,경기곡물,신희우,010-0403-5283,441-32-41823,등록이 되어 있습니다.
1122200022,(주)샘물미트,정지예,010-9467-2252,294-37-34964,등록이 되어 있습니다.
13310500535,마장축산물시장상인회,강진태,010-2230-7575,922-89-85868,등록이 되어 있습니다.
60010200056,잠수기12번,조민시,010-5718-8890,105-18-37972,등록이 되어 있습니다.
30110100219,동우닭집,정예현,010-9506-2399,124-18-20343,등록이 되어 있습니다.
70510800006,봉덕신시장상인회,이도준,010-1044-4136,869-44-13937,등록이 되어 있지 않습니다. 
78010400059,철자상회,송라수,010-9104-1295,360-99-89972,등록이 되어 있습니다.
60410300039,광진수산,강시태,010-8856-1237,279-98-27453,등록이 되어 있습니다.
13011300086,푸른농산,이수태,010-1109-4559,997-90-17876,등록이 되어 있습니다.
70610300205,오성유통,정희수,010-3910-8657,497-15-29766,등록이 되어 있습니다.
2181200002,씨유 자갈치점,홍나우,010-8759-2935,274-72-29129,등록이 되어 있습니다.
60210100001,충무동새벽시장,김윤민,010-6168-9998,784-14-70367,등록이 되어 있습니다.
61410800682,(주)대산씨푸드부전,한은태,010-0571-0331,618-72-14397,등록이 되어 있습니다.
60910200033,동림떡집,임희하,010-6143-9999,496-48-65224,등록이 되어 있지 않습니다. 
26910400072,민통선고기마을,신건민,010-7412-8337,271-10-49678,등록이 되어 있습니다.
70211700036,금오상회,조서태,010-9054-8794,775-08-98723,등록이 되어 있습니다.
13011700033,공주상회,정시건,010-4880-6519,681-38-23878,등록이 되어 있습니다.
14034200016,홍도어물,권시서,010-8280-7036,647-89-67581,등록이 되어 있습니다.
50110300232,이천상사,서민준,010-0736-5394,076-46-62121,등록이 되어 있습니다.
70610300205,오성유통,최은우,010-7162-8334,445-81-36748,등록이 되어 있지 않습니다. 
61411200072,김해상회,박진예,010-1088-5713,487-86-31890,등록이 되어 있습니다.
61111700002,세영식품,서도하,010-3837-1574,459-15-09269,등록이 되어 있습니다.
70210300001,대구청과시장상인회,박현진,010-0850-6210,986-03-01519,등록이 되어 있습니다.
38010800013,하나청과,윤하수,010-2048-6107,745-14-20462,등록이 되어 있습니다.
22010500098,에꼴리에,정지우,010-8907-4602,098-67-54666,등록이 되어 있습니다.
68010500001,야음상가시장상인회,정유우,010-8259-8750,823-57-11614,등록이 되어 있습니다.
60211200010,성해수산,신현민,010-3657-9572,012-68-35021,등록이 되어 있습니다.
68111000001,울산학성새벽시장상인,윤은하,010-3682-7700,463-71-99620,등록이 되어 있습니다.
50210300616,부안닭집,김지하,010-5634-8792,437-88-57072,등록이 되어 있지 않습니다. 
30610400057,(주)유광,송준윤,010-2661-9094,128-76-86254,등록이 되어 있습니다.
50210300616,부안닭집,윤준도,010-5558-6661,385-92-69544,등록이 되어 있습니다.
61610100056,대성식품,한준은,010-0491-4881,309-08-48396,등록이 되어 있습니다.
16103200016,한농유통,이민서,010-0832-5489,684-82-42560,등록이 되어 있습니다.
70210500008,황보문구,권서건,010-2920-4090,988-49-60515,등록이 되어 있습니다.
61310200001,남천해변시장,송나수,010-8179-6979,006-54-04533,등록이 되어 있습니다.
10010100860,우리농수산물유통센터,김현태,010-6079-3205,216-30-93027,등록이 되어 있습니다.
16103200016,한농유통,서현건,010-8764-8027,864-81-57833,등록이 되어 있습니다.
50210300067,양지식품,권건서,010-5970-3402,962-12-20931,등록이 되어 있습니다.
46211100051,신강원청과 주식회사,이윤서,010-4154-8178,368-87-85929,등록이 되어 있습니다.
57910100001,부안상설시장상인회,홍은유,010-7900-7570,878-39-24933,등록이 되어 있습니다.
69010400001,서문공설시장상인회,박라우,010-7969-1729,387-77-95138,등록이 되어 있습니다.
10010400053,태영수산,윤하수,010-3012-5045,730-03-39649,등록이 되어 있습니다.
61710100338,노점(곽계순),한윤건,010-3011-9045,895-58-71368,등록이 되어 있습니다.
5041200011,서부직매장,조수도,010-8766-8256,244-36-83371,등록이 되어 있습니다.
13310500252,주식회사대성한우,신수우,010-6274-4066,302-84-34666,등록이 되어 있습니다.
60010700001,보수종합시장,송시준,010-3746-1796,046-37-61340,등록이 되어 있습니다.
13310500252,주식회사대성한우,송하민,010-6715-1942,376-51-10414,등록이 되어 있습니다.
57910100001,부안상설시장상인회,최준진,010-6530-5685,600-43-52938,등록이 되어 있습니다.
50110300311,더드림농수산,홍시희,010-0429-9211,144-27-89870,등록이 되어 있습니다.
15010300219,신대흥상회,김수예,010-2523-7780,458-49-21857,등록이 되어 있습니다.
75010900004,여러분식육유통,이시나,010-5072-4264,694-58-24346,등록이 되어 있습니다.
73011100068,왜관청과,임윤시,010-4323-2812,018-97-57649,등록이 되어 있습니다.
12061200084,베이비베네피아천안점,서하태,010-6472-6263,324-01-11314,등록이 되어 있습니다.
61410800458,제일식육점,서현서,010-2069-5062,173-18-08355,등록이 되어 있습니다.
1296200004,명진후르츠,김유민,010-0510-9564,194-44-96441,등록이 되어 있습니다.
60010200115,잠수기중매1번,신준예,010-9531-2612,950-49-99563,등록이 되어 있습니다.
68111000001,울산학성새벽시장상인,임희지,010-3526-9462,653-71-36013,등록이 되어 있습니다.
61411300488,대흥인삼,이유진,010-7458-0751,913-54-28844,등록이 되어 있습니다.
13011800034,강오상회,권우지,010-5237-9169,849-97-49214,등록이 되어 있지 않습니다. 
70212010000,주식회사태현유통산격,최서희,010-2262-3819,217-06-09089,등록이 되어 있습니다.
31210300068,금산수삼센터,김수준,010-9733-4997,301-57-72243,등록이 되어 있습니다.
2069200005,해조원,최진은,010-4573-9516,088-96-29329,등록이 되어 있습니다.
50210200001,양동복개상가상인회,권건유,010-3417-3981,617-40-63468,등록이 되어 있습니다.
40210200064,청미포크,조하수,010-5228-3246,655-65-54267,등록이 되어 있습니다.
53010800027,학산상회,한예서,010-2085-3131,757-92-49198,등록이 되어 있습니다.
32010200283,왕대수산,송라희,010-2352-1979,175-16-88182,등록이 되어 있습니다.
68110200065,선우시장상인회,신태민,010-7860-1256,192-98-18283,등록이 되어 있습니다.
61610100072,청백식품,한태희,010-7906-6811,587-93-25345,등록이 되어 있습니다.
13310500535,마장축산물시장상인회,홍태희,010-9667-9711,065-85-42719,등록이 되어 있습니다.
78010300018,만물수산,임지진,010-8595-1852,116-21-33723,등록이 되어 있습니다.
6035200002,제일상회,신하하,010-7258-8035,112-98-39854,등록이 되어 있습니다.
79110800010,동빈수산,정도현,010-0956-6259,874-28-13283,등록이 되어 있습니다.
2071200002,수비니,서건민,010-5030-3653,038-95-60487,등록이 되어 있습니다.
54010200058,보수청과,한윤예,010-5655-2590,744-74-97281,등록이 되어 있습니다.
79110300077,참푸른닭오리,홍서건,010-4884-6325,241-80-35429,등록이 되어 있습니다.
79110300077,참푸른닭오리,권희하,010-4065-5321,084-63-11111,등록이 되어 있습니다.
61410900311,인순상회,서민민,010-5418-8258,123-29-23774,등록이 되어 있습니다.
15010300205,세원상사,홍지진,010-4202-5172,148-59-39487,등록이 되어 있습니다.
61110200017,청도상회,홍건우,010-3089-3104,416-25-96192,등록이 되어 있습니다.
13012400001,청량리수산시장상인회,이윤라,010-5898-9571,905-50-97978,등록이 되어 있습니다.
61410900311,인순상회,서우수,010-9834-0022,575-09-60235,등록이 되어 있습니다.
22011100129,녹십초알로에,홍윤수,010-7532-1433,201-50-90986,등록이 되어 있습니다.
53010700087,동부축산,홍나건,010-2966-9342,264-25-41250,등록이 되어 있습니다.
61710100247,칠성상회,조하태,010-2783-4385,863-88-27098,등록이 되어 있습니다.
40310300012,우리유통,권하건,010-8766-4088,092-76-51401,등록이 되어 있습니다.
63110200857,(주)삼진축산,송수수,010-0701-1919,165-64-85372,등록이 되어 있습니다.
70210500111,형제유통,권준민,010-7609-2804,085-25-28951,등록이 되어 있습니다.
30010100025,신도축산부산물,조은수,010-4115-6647,422-51-32095,등록이 되어 있습니다.
24010100001,동쪽바다중앙시장상인,서윤진,010-0398-5180,474-22-82172,등록이 되어 있습니다.
70212300001,대구기계공구상협동조,이윤유,010-6905-0295,978-55-35460,등록이 되어 있습니다.
53610400031,노점,강윤예,010-9158-6339,232-45-57499,등록이 되어 있습니다.
